,Statute,OffenseDescription,OffenseDescription2,OffenseType
22771,720 5/31.4-5 -A,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22772,720 5/31.4.5,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22773,720 5/31.4.5(A),Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22774,720 5/31(4.5),Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22775,720 5/31(A)(1),Obstructing justice,Obstructing justice/resisting or obstructing peace officer,Public order offense
22776,720 5/31*1-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
22777,720 5/31/(C),Escape,Escape/aiding escape,Public order offense
22778,720 5/31/4.5,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22779,720 5/31/4.5(A),Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22780,720 5/311,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
22781,720 5/311-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
22782,720 5/313-4.5-A,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22783,720 5/31A-1.1 A,Bringing contraband into a penal institution,Bringing contraband in a penal institution,Public order offense
22784,720 5/31A-1.1-B,Bringing contraband into a penal institution,Bringing contraband in a penal institution,Public order offense
22785,720 5/32-1-A-1-D-1-F,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
22786,720 5/32-10,Violation of bail bond,Other public order offense,Public order offense
22787,720 5/32-10 (B),Violation of bail bond,Other public order offense,Public order offense
22788,720 5/32-10 B,Violation of bail bond,Other public order offense,Public order offense
22789,720 5/32-10-A,Violation of bail bond,Other public order offense,Public order offense
22790,720 5/32-10-A-5,Violation of bail bond,Other public order offense,Public order offense
22791,720 5/32-10-B,Violation of bail bond,Other public order offense,Public order offense
22792,720 5/32-10-C,Violation of bail bond,Other public order offense,Public order offense
22793,720 5/32-10(A),Violation of bail bond,Other public order offense,Public order offense
22794,720 5/32-10(B),Violation of bail bond,Other public order offense,Public order offense
22795,720 5/32-10A,Violation of bail bond,Other public order offense,Public order offense
22796,720 5/32-4,Communicating with jurors or witnesses,Perjury/communicating or harrassing witnesses/contempt,Public order offense
22797,720 5/32-4-A-A-2,Harassment of jurors or witnesses,Perjury/communicating or harrassing witnesses/contempt,Public order offense
22798,720 5/32-4A,Harassment of jurors or witnesses,Perjury/communicating or harrassing witnesses/contempt,Public order offense
22799,720 5/32-4A-A-2,Harassment of jurors or witnesses,Perjury/communicating or harrassing witnesses/contempt,Public order offense
22800,720 5/32-4B,Harassment of jurors or witnesses,Perjury/communicating or harrassing witnesses/contempt,Public order offense
22801,720 5/32/10-B,Violation of bail bond,Other public order offense,Public order offense
22802,720 5/33-1-A,Bribery,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
22803,720 5/33-3-A-2,Official misconduct,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
22804,720 5/33-3-B,Official misconduct,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
22805,720 5/33-3(A)(2),Official misconduct,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
22806,720 5/33-3(C),Official misconduct,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
22807,720 5/33-3A2,Official misconduct,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
22808,720 5/33-A-2-C,Armed violence,Armed violence,Weapon offense
22809,720 5/33(A)-2(A),Armed violence,Armed violence,Weapon offense
22810,720 5/33A-2,Armed violence,Armed violence,Weapon offense
22811,720 5/33A-2 A,Armed violence,Armed violence,Weapon offense
22812,720 5/33A-2 AND 550 SECTION 5-F,Armed violence,Armed violence,Weapon offense
22813,720 5/33A-2-A,Armed violence,Armed violence,Weapon offense
22814,720 5/33A-2-A(570/402-C),Armed violence,Armed violence,Weapon offense
22815,720 5/33A-2-B,Armed violence,Armed violence,Weapon offense
22816,720 5/33A-2-C,Armed violence,Armed violence,Weapon offense
22817,720 5/33A-2(A),Armed violence,Armed violence,Weapon offense
22818,720 5/33A-3-D,Armed violence,Armed violence,Weapon offense
22819,720 5/33F-2,Unlawful possession of firearms and firearms ammunition,Unlawful possession/purchase of firearms and firearms ammunition,Weapon offense
22820,720 5/37-1,Other offense,Other public order offense,Public order offense
22821,720 5/4-102,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
22822,720 5/4-103,Other offense,Other public order offense,Public order offense
22823,720 5/4-103-A-1,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
22824,720 5/4-103-A-2,Other offense,Other public order offense,Public order offense
22825,720 5/4-103.2-A-1,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
22826,720 5/4-103.2-A-3,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
22827,720 5/4-3.1(A)(3)A,Unlawful use of a weapon by a felon,Unlawful use of a weapon by a felon,Weapon offense
22828,720 5/4-4(A),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22829,720 5/4.5A,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
22830,720 5/4(C),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22831,720 5/401-A--A-II,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22832,720 5/401-A-2-A,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22833,720 5/401-C-1,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22834,720 5/401-C-2,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22835,720 5/401-D,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22836,720 5/401.5-A-5,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22837,720 5/402-A-2-A,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
22838,720 5/402-C,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22839,720 5/402-C-1,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
22840,720 5/402(C),Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22841,720 5/47-5-15,Other offense,Other public order offense,Public order offense
22842,720 5/47-5-5,Other offense,Other public order offense,Public order offense
22843,720 5/48-,Dog fighting,Other public order offense,Public order offense
22844,720 5/5 402 C,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
22845,720 5/5 8 A 4.1 A,Escape,Escape/aiding escape,Public order offense
22846,720 5/5 9 1 A-1,First degree murder,First degree murder,Person offense
22847,720 5/5 9-1,First degree murder,First degree murder,Person offense
22848,720 5/5-24-1.6-A-1,Aggravated unlawful use of a weapon,Aggravated unlawful use of a weapon,Weapon offense
22849,720 5/5-3-A-5,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense
22850,720 5/5-6-4,Probation or parole violation,Other public order offense,Public order offense
22851,720 5/5-8A 4.1 A,Escape,Escape/aiding escape,Public order offense
22852,720 5/5-8A-4.1-A,Escape,Escape/aiding escape,Public order offense
22853,720 5/5(A),Reckless discharge of a firearm,Unlawful/aggravated/reckless discharge of firearm,Weapon offense
22854,720 5/5/12-3.2 A2,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
22855,720 5/5/12.3.2.A.2,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
22856,720 5/5/18-2(A),Armed robbery,Armed robbery,Person offense
22857,720 5/5/21-1-A-1,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
22858,720 5/5/25-1(A)(1),Mob action,Mod action,Public order offense
22859,720 5/5/8-4,Attempt armed robbery with a firearm,Armed robbery with a firearm,Person offense
22860,720 5/5/9-1 A 1,First degree murder,First degree murder,Person offense
22861,720 5/50/4(A),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22862,720 5/511-1.40-A-1,Escape,Escape/aiding escape,Public order offense
22863,720 5/511-1.60C-1,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense
22864,720 5/550-4-C,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22865,720 5/550-4B,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22866,720 5/550(4(B),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22867,720 5/550(4)(B),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22868,720 5/550/4-A,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22869,720 5/550/4(A),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22870,720 5/550/4(D),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22871,720 5/550/4D,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
22872,720 5/550/5-E,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22873,720 5/570/401-A-1-A,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22874,720 5/570/401-A-7.5-B-I,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
22875,720 5/570/402(C),Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
22876,720 5/570/40D,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
22877,720 5/6-1(A)(1)(A),Theft,Theft,Propert offense
22878,720 5/6-1(A)(2),Theft,Theft,Propert offense
22879,720 5/6-19-A-1,Retail theft,Retail theft,Propert offense
22880,720 5/6-20,Consumption of alcohol by a minor,Other public order offense,Public order offense
22881,720 5/6-20-D,Consumption of alcohol by a minor,Other public order offense,Public order offense
22882,720 5/6-20(A),Consumption of alcohol by a minor,Other public order offense,Public order offense
22883,720 5/6-20(C),Consuming alcohol in public,Other public order offense,Public order offense
22884,720 5/6-25(A)(1),Retail theft,Retail theft,Propert offense
22885,720 5/6-301.2 B 1,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
22886,720 5/6-301.2-B-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
22887,720 5/6-303,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
22888,720 5/6-303-A,Other offense,Other public order offense,Public order offense
22889,720 5/6-303-D,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
22890,720 5/6-303-D-3,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
22891,720 5/6-303(C-3),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
22892,720 5/6-303(D)(3),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
22893,720 5/60(B)(1),Possession of methamphetamine,Possession of cannabis/controlled substance,Drug offense
22894,720 5/600-3-5,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
22895,720 5/600/3-5-A,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
22896,720 5/600/3.5,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
22897,720 5/600/3.5-A,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
22898,720 5/600/3.5(A),Possession/sale of drug paraphernalia,Other drug offense,Drug offense
22899,720 5/646/60,Possession of methamphetamine,Possession of cannabis/controlled substance,Drug offense
22900,720 5/8-1,Aggravated battery,Battery/aggravated battery/henious battery,Person offense
22901,720 5/8-1-A,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22902,720 5/8-1-A (9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22903,720 5/8-18-2-A-1,Armed robbery,Armed robbery,Person offense
22904,720 5/8-2,Attempt robbery,Robbery/aggravated robbery,Person offense
22905,720 5/8-4,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22906,720 5/8-4  18-1-A-1,Attempt robbery,Robbery/aggravated robbery,Person offense
22907,720 5/8-4 -A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22908,720 5/8-4 (11-1.20-A-1),Attempt criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense
22909,720 5/8-4 (11-1.20(A)(1)),Attempt criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense
22910,720 5/8-4 (11-1.40-A-1),Attempt predatory criminal sexual assault of a child,Sex offenses involving children,Person offense
22911,720 5/8-4 (18-1-B-1),Attempt aggravated robbery,Robbery/aggravated robbery,Person offense
22912,720 5/8-4 (18-2-A-1),Attempt armed robbery,Armed robbery,Person offense
22913,720 5/8-4 (18-2-A-2),Attempt armed robbery,Armed robbery,Person offense
22914,720 5/8-4 (18-4-A-4),Attempt aggravated vehicular hijacking with a firearm,Vehicular hijacking with a firearm,Person offense
22915,720 5/8-4 (19-3-A),Attempt residential burglary,Residential burglary,Propert offense
22916,720 5/8-4 (5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22917,720 5/8-4 (5/9-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22918,720 5/8-4 (720 5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22919,720 5/8-4 (8-2-A-1),Attempt armed robbery,Armed robbery,Person offense
22920,720 5/8-4 (9-4),Attempt aggravated arson,Arson/possession of explosives,Propert offense
22921,720 5/8-4 11-1.40,Attempt predatory criminal sexual assault of a child,Sex offenses involving children,Person offense
22922,720 5/8-4 18-2A2,Attempt armed robbery,Armed robbery,Person offense
22923,720 5/8-4 18-4A4,Attempt aggravated vehicular hijacking with a firearm,Vehicular hijacking with a firearm,Person offense
22924,720 5/8-4 19-1-A,Attempt burglary,Burglary,Propert offense
22925,720 5/8-4 19-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22926,720 5/8-4 5/11-1.20-A-1,Attempt criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense
22927,720 5/8-4 5/18-1,Attempt armed robbery,Armed robbery,Person offense
22928,720 5/8-4 5/19-1-A,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22929,720 5/8-4 5/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22930,720 5/8-4 625 11-204,Aggravated fleeing or eluding a peace officer,Fleeing or eluding police,DUI/vehicle offense
22931,720 5/8-4 9-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22932,720 5/8-4 9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22933,720 5/8-4 9-4-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22934,720 5/8-4 A,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22935,720 5/8-4-9-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22936,720 5/8-4-9-1-A-2,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22937,720 5/8-4-A,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22938,720 5/8-4-A  9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22939,720 5/8-4-A (5/19-3-A),Residential burglary,Residential burglary,Propert offense
22940,720 5/8-4-A (720 5/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22941,720 5/8-4-A (720-5-9-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22942,720 5/8-4-A (720-5/9-1-A),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22943,720 5/8-4-A (9-1-A-2),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22944,720 5/8-4-A (9-1-A-3),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22945,720 5/8-4-A (9-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22946,720 5/8-4-A (9-1)-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22947,720 5/8-4-A 18-1-A,Attempt robbery,Robbery/aggravated robbery,Person offense
22948,720 5/8-4-A 18-2-A-2,Attempt armed robbery,Armed robbery,Person offense
22949,720 5/8-4-A 9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22950,720 5/8-4-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22951,720 5/8-4-A-18-2-A-2,Attempt armed robbery,Armed robbery,Person offense
22952,720 5/8-4-A-19-1-A,Attempt residential burglary,Residential burglary,Propert offense
22953,720 5/8-4-A-9-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22954,720 5/8-4-A-9-1-A-3,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22955,720 5/8-4-A(11-1.20-A-1),Attempt criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense
22956,720 5/8-4-A(18-2),Attempt armed robbery,Armed robbery,Person offense
22957,720 5/8-4-A(19-3-A),Attempt residential burglary,Residential burglary,Propert offense
22958,720 5/8-4-A(19-6-A-2),Home invasion,Home invasion,Propert offense
22959,720 5/8-4-A(5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22960,720 5/8-4-A(720 5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22961,720 5/8-4-A(720-5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22962,720 5/8-4-A(9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22963,720 5/8-4-A//720-5/16-1-A-1,Attempt theft,Theft,Propert offense
22964,720 5/8-4-AA-2,Attempt armed robbery,Armed robbery,Person offense
22965,720 5/8-4-C,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22966,720 5/8-4-C-1-D,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22967,720 5/8-4(11-1.30(A)(2)),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense
22968,720 5/8-4(11-1.30(A)(4),Attempt aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense
22969,720 5/8-4(18-1-B-1),Attempt aggravated robbery,Robbery/aggravated robbery,Person offense
22970,720 5/8-4(18-1(B)(1),Attempt aggravated robbery,Robbery/aggravated robbery,Person offense
22971,720 5/8-4(18-2-A-2),Attempt armed robbery,Armed robbery,Person offense
22972,720 5/8-4(18-2),Attempt armed robbery,Armed robbery,Person offense
22973,720 5/8-4(19-1-(A)),Attempt burglary,Burglary,Propert offense
22974,720 5/8-4(19-1(A)),Attempt burglary,Burglary,Propert offense
22975,720 5/8-4(5/31-6-C-5),Attempt escape,Escape/aiding escape,Public order offense
22976,720 5/8-4(5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22977,720 5/8-4(5/9-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22978,720 5/8-4(720 5/16-1(A)(1)),Attempt theft,Theft,Propert offense
22979,720 5/8-4(720 5/16-30),Attempt identity theft,Identity theft,Propert offense
22980,720 5/8-4(720-5/19-3),Attempt residential burglary,Residential burglary,Propert offense
22981,720 5/8-4(9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22982,720 5/8-4(9-1-A),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22983,720 5/8-4(9-1(A)(1)),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22984,720 5/8-4(9-1A),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22985,720 5/8-4(A),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22986,720 5/8-4(A) 720 5/9-1(A)(4),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22987,720 5/8-4(A)(1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22988,720 5/8-4(A)(720 5/9-1-A-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22989,720 5/8-4(A)(720-5/9-1(A),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22990,720 5/8-4(A)(9-1(A)(3),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22991,720 5/8-4(A)(9-1(A)(3)),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22992,720 5/8-4(A)(9-1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22993,720 5/8-4(A)[5/9-1(A)(1)],Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22994,720 5/8-4(A)720 5/9-1(A)(1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22995,720 5/8-4(A)9-1(A)(1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22996,720 5/8-4(A)9-1(A)(3),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22997,720 5/8-4(A)ER,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
22998,720 5/8-4/18-3(A),Attempt vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense
22999,720 5/8-4/5/31-1,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
23000,720 5/8-4/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23001,720 5/8-4A,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23002,720 5/8-4A(1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23003,720 5/8-7,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23004,720 5/8-A(A),Attempt aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense
23005,720 5/9 -1-A-1,First degree murder,First degree murder,Person offense
23006,720 5/9 1 A 1,First degree murder,First degree murder,Person offense
23007,720 5/9 1A1,First degree murder,First degree murder,Person offense
23008,720 5/9 A 1,First degree murder,First degree murder,Person offense
23009,720 5/9-1,First degree murder,First degree murder,Person offense
23010,720 5/9-1 (A) (1),First degree murder,First degree murder,Person offense
23011,720 5/9-1 (A)(1),First degree murder,First degree murder,Person offense
23012,720 5/9-1 1 A,First degree murder,First degree murder,Person offense
23013,720 5/9-1 A,First degree murder,First degree murder,Person offense
23014,720 5/9-1 A 1,First degree murder,First degree murder,Person offense
23015,720 5/9-1 A 2,First degree murder,First degree murder,Person offense
23016,720 5/9-1 A 3,First degree murder,First degree murder,Person offense
23017,720 5/9-1 A-1,First degree murder,First degree murder,Person offense
23018,720 5/9-1--1-8-4,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23019,720 5/9-1-4-1,First degree murder,First degree murder,Person offense
23020,720 5/9-1-A,First degree murder,First degree murder,Person offense
23021,720 5/9-1-A A,First degree murder,First degree murder,Person offense
23022,720 5/9-1-A-1,First degree murder,First degree murder,Person offense
23023,720 5/9-1-A-1 (8-4),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23024,720 5/9-1-A-1-8-4,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23025,720 5/9-1-A-2,First degree murder,First degree murder,Person offense
23026,720 5/9-1-A-3,First degree murder,First degree murder,Person offense
23027,720 5/9-1-A1,First degree murder,First degree murder,Person offense
23028,720 5/9-1(A)(1),First degree murder,First degree murder,Person offense
23029,720 5/9-1(A)(1)(8-4),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23030,720 5/9-1(A)(2),First degree murder,First degree murder,Person offense
23031,720 5/9-1(A)(3),First degree murder,First degree murder,Person offense
23032,720 5/9-1A-1,First degree murder,First degree murder,Person offense
23033,720 5/9-1A1,First degree murder,First degree murder,Person offense
23034,720 5/9-1A3,First degree murder,First degree murder,Person offense
23035,720 5/9-3,First degree murder,First degree murder,Person offense
23036,720 5/9-3 A,Involuntary manslaughter and reckless homicide,Other homicides,Person offense
23037,720 5/9-3-A,Involuntary manslaughter and reckless homicide,Other homicides,Person offense
23038,720 5/9-3.3-A,Drug induced homicide,Other homicides,Person offense
23039,720 5/9-3.4,Concealment of death,Failing to report a death,Person offense
23040,720 5/9-3.4-A,Concealment of death,Failing to report a death,Person offense
23041,720 5/9-3.5-C,Concealment of death,Failing to report a death,Person offense
23042,720 5/9-3(A),Involuntary manslaughter and reckless homicide,Other homicides,Person offense
23043,720 5/9-3(A0,Involuntary manslaughter and reckless homicide,Other homicides,Person offense
23044,720 5/9-3A,Involuntary manslaughter and reckless homicide,Other homicides,Person offense
23045,720 5/9-4-A-1,Criminal trespass to real property,Criminal trespass to a residence/property,Propert offense
23046,720 5/9-4(A)(2),Criminal trespass to a residence,Criminal trespass to a residence/property,Propert offense
23047,720 5/9-A-1,First degree murder,First degree murder,Person offense
23048,720 5/9-A1,First degree murder,First degree murder,Person offense
23049,720 5/9.1 A 1,First degree murder,First degree murder,Person offense
23050,720 5/9.1-A (8-4),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23051,720 5/9.1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
23052,720 5/91-A3,First degree murder,First degree murder,Person offense
23053,720 5/A-3-A,Retail theft,Retail theft,Propert offense
23054,720 5/A-3(A),Retail theft,Retail theft,Propert offense
23055,720 50 /12-3-A-1,Battery,Battery/aggravated battery/henious battery,Person offense
23056,720 50 12-3.2 A 1,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
23057,720 50 12-4(B)(11) AGG BATTERY,Warrant,Warrant,FTA/Warrant
23058,720 50./12-1-A,Warrant,Warrant,FTA/Warrant
23059,720 50./21-1.01-A-1,Criminal damage to government property,Criminal damage to property/institutional vandalism,Propert offense
23060,720 50./24-1-A-4,Unlawful use of a weapon (firearm),Unlawful use of a weapon (firearm),Weapon offense
23061,720 50./31-4.5-A,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
23062,720 50/5-B,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
23063,720 500 4(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
23064,720 500/4-D,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
23065,720 500/4(B),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
23066,720 500/4(C),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
23067,720 500/5-D,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
23068,720 5012 30 A 1,Violation of an order of protection,Violation of order of protection/no stalking,Person offense
23069,720 5012-3.2(A)(1),Domestic battery,Domestic battery/aggravated domestic battery,Person offense
23070,720 510/12-3-A-2,Battery,Battery/aggravated battery/henious battery,Person offense
23071,720 512-3.2 A 1,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
23072,720 512-3.2 A 2,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
23073,720 512-3.2(A)(1),Domestic battery,Domestic battery/aggravated domestic battery,Person offense
23074,720 512-3.4,Violation of an order of protection,Violation of order of protection/no stalking,Person offense
23075,720 512-3(A)(2),Battery,Battery/aggravated battery/henious battery,Person offense
23076,720 512-3A-2,Battery,Battery/aggravated battery/henious battery,Person offense
23077,720 515/3(A)(1),Home repair fraud,Other fraud offenses,Propert offense
23078,720 516-25-A-1,Retail theft,Retail theft,Propert offense
23079,720 53.0/12-3.2(A)(2),Domestic battery,Domestic battery/aggravated domestic battery,Person offense
23080,720 533A-2(A),Armed violence,Armed violence,Weapon offense
23081,720 54/12-3.2-A-1,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
